category,fy_amount,multiyear_amount,fiscal_year
Air Transportation,198723000.0,525059000.0,2008
Streets,96330000.0,441437000.0,2008
Drainage,89905000.0,233174000.0,2008
Parks,107189000.0,181576000.0,2008
Municipal Facilities,65290000.0,142289000.0,2008
Law Enforcement,23826000.0,124387000.0,2008
Fire Protection,14688000.0,55752000.0,2008
Libraries,8300000.0,21487000.0,2008
Community Initiatives,1162000.0,,2008
Total,605144000.0,1726323000.0,2008
Air Transportation,255548000.0,483860000.0,2009
Streets,145184000.0,435458000.0,2009
Parks,150646000.0,178200000.0,2009
Drainage,65173000.0,189987000.0,2009
Municipal/Other Facilities,86742000.0,120738000.0,2009
Law Enforcement,34249000.0,135876000.0,2009
Libraries,19058000.0,25310000.0,2009
Fire Protection,15191000.0,53415000.0,2009
Air Transportation,211496000.0,487224000.0,2010
Streets,168445000.0,373822000.0,2010
Municipal Facilities,93018000.0,133976000.0,2010
Parks,84915000.0,104165000.0,2010
Drainage,81762000.0,177555000.0,2010
Law Enforcement,24734000.0,122048000.0,2010
Fire Protection,26744000.0,40583000.0,2010
Libraries,19225000.0,21475000.0,2010
Other Facilities,5213000.0,6371000.0,2010
Total,715552000.0,1467219000.0,2010
Streets,211181000.0,322462000.0,2011
Air Transportation,98576000.0,257367000.0,2011
Drainage,101600000.0,165649000.0,2011
Law Enforcement,88296000.0,146296000.0,2011
Parks,64245000.0,82894000.0,2011
Municipal Facilities,77458000.0,81913000.0,2011
Fire Protection,27435000.0,39687000.0,2011
Information Technology,18145000.0,18145000.0,2011
Libraries,17539000.0,17539000.0,2011
Other,6561000.0,6561000.0,2011
Total,711036000.0,1138513000.0,2011
Streets,199170000.0,235521000.0,2012
Air Transportation,88689000.0,422136000.0,2012
Drainage,100147000.0,117043000.0,2012
Law Enforcement,41546000.0,41546000.0,2012
Parks,38438000.0,92630000.0,2012
Municipal Facilities,61601000.0,86824000.0,2012
Fire Protection,22098000.0,24887000.0,2012
Information Technology,10185000.0,10185000.0,2012
Libraries,3600000.0,3600000.0,2012
Total,565474000.0,1034372000.0,2012
Streets,211936000.0,558256000.0,2013
Municipal Facilities,120344000.0,453769000.0,2013
Air Transportation,68782000.0,379955000.0,2013
Parks,97962000.0,261283000.0,2013
Drainage,97622000.0,219140000.0,2013
Information Technology,10400000.0,40400000.0,2013
Libraries,6571000.0,30751000.0,2013
Law Enforcement,11160000.0,11160000.0,2013
Fire Protection,11559000.0,25485000.0,2013
Total,636336000.0,1980199000.0,2013
"Streets, Bridges & Sidewalks Improvements",338000.0,,2013
Streets,173430000.0,467512000.0,2014
Air Transportation,87109000.0,416664000.0,2014
Municipal Facilities,140790000.0,378939000.0,2014
Parks,81602000.0,203765000.0,2014
Drainage,62513000.0,162048000.0,2014
Information Technology,44675000.0,,2014
Libraries,13675000.0,28347000.0,2014
Fire Protection,8757000.0,17506000.0,2014
Law Enforcement,1950000.0,1950000.0,2014
Total,569826000.0,1721406000.0,2014
"Streets, Bridges & Sidewalk Improvements",338000.0,,2014
Streets,203022000.0,345518000.0,2015
Municipal Facilities,189065000.0,313005000.0,2015
Air Transportation,80103000.0,260601000.0,2015
Parks,93841000.0,145025000.0,2015
Drainage,61420000.0,127897000.0,2015
Information Technology,15978000.0,54030000.0,2015
Libraries,9643000.0,13018000.0,2015
